year,count
2009.0,10
2010.0,1450
2011.0,1148
2012.0,1454
2013.0,1437
2014.0,1443
2015.0,1669
2016.0,946
2017.0,954
2018.0,784
2019.0,934
2020.0,731
2021.0,687
2022.0,903
2023.0,657
2024.0,848
2025.0,639
